id,name,gender,date_of_birth,id_number,driving_license,issue_date,expiry_date,contact_number,address,driving_experience,driver_status,created_at,updated_at
2439922de43d11ef9aeaad30f1df9c0c,廖静怡,女,1993-06-03 11:22:13,410823199306037320,410823199306037320,2037-07-26,2043-07-26,14586382219,河南省 焦作市 武陟县,0,正常,2025-02-06 11:47:52,
24bd3906e43d11efa2c0ad30f1df9c0c,徐茵,女,1988-10-28 01:10:59,510121198810287124,510121198810287124,2015-08-04,长期,18064654928,四川省 成都市 金堂县,10,正常,2025-02-06 11:47:53,
24bd3908e43d11efaed0ad30f1df9c0c,尹妍琴,女,1966-01-29 05:15:51,530304196601298467,530304196601298467,2010-06-14,长期,13904067307,云南省 曲靖市 马龙区,15,正常,2025-02-06 11:47:53,
24bd6006e43d11efb11cad30f1df9c0c,段明,男,1994-03-18 13:42:19,230522199403186831,230522199403186831,2020-06-17,2026-06-17,13874689467,黑龙江省 双鸭山市 友谊县,5,正常,2025-02-06 11:47:53,
24bd6008e43d11eface5ad30f1df9c0c,熊子睿,男,1947-09-02 00:40:32,210321194709029093,210321194709029093,1984-08-18,长期,15355354088,辽宁省 鞍山市 台安县,41,正常,2025-02-06 11:47:53,
24bd600ae43d11efab95ad30f1df9c0c,苏宇航,男,2003-09-09 08:15:27,370612200309090234,370612200309090234,2022-10-28,2028-10-28,18262425656,山东省 烟台市 牟平区,3,正常,2025-02-06 11:47:53,
24bd600ce43d11ef9b4cad30f1df9c0c,蒋昊天,男,2001-11-23 01:19:54,150627200111233897,150627200111233897,2048-11-05,2054-11-05,18575865823,内蒙古自治区 鄂尔多斯市 伊金霍洛旗,0,正常,2025-02-06 11:47:53,
24bd8711e43d11efab83ad30f1df9c0c,邹志强,男,2002-10-10 18:36:36,361027200210102371,361027200210102371,2046-11-11,2052-11-11,18566145560,江西省 抚州市 金溪县,0,正常,2025-02-06 11:47:53,
24bd8713e43d11efb4d8ad30f1df9c0c,阎昊天,男,1945-11-25 16:48:52,520525194511253574,520525194511253574,1990-10-08,长期,15558826118,贵州省 毕节市 纳雍县,35,正常,2025-02-06 11:47:53,
24bd8715e43d11efacdaad30f1df9c0c,顾轩,男,1978-05-18 09:24:30,620123197805184255,620123197805184255,2015-11-23,长期,13737081676,甘肃省 兰州市 榆中县,10,正常,2025-02-06 11:47:53,
24bd8717e43d11ef81f7ad30f1df9c0c,钟梦瑶,女,1968-04-17 09:06:52,22040319680417708X,22040319680417708X,2001-07-01,长期,15361238064,吉林省 辽源市 西安区,24,正常,2025-02-06 11:47:53,
24bd8719e43d11ef8bc5ad30f1df9c0c,戴浩辰,男,2001-05-16 18:36:52,210304200105160535,210304200105160535,2023-01-28,2029-01-28,13559134412,辽宁省 鞍山市 立山区,2,正常,2025-02-06 11:47:53,
24bd871be43d11efacbcad30f1df9c0c,姜伟晨,男,1970-06-27 14:11:34,361021197006278991,361021197006278991,2005-11-10,长期,13181988739,江西省 抚州市 南城县,20,正常,2025-02-06 11:47:53,
24bdae1ae43d11ef8a0dad30f1df9c0c,林昊天,男,1946-08-05 11:46:15,341182194608050119,341182194608050119,1978-07-19,长期,13462953688,安徽省 滁州市 明光市,47,正常,2025-02-06 11:47:53,
24bdae1ce43d11ef9c6cad30f1df9c0c,阎子涵,男,1950-08-27 03:03:32,620602195008276516,620602195008276516,1991-08-13,长期,14574147686,甘肃省 武威市 凉州区,34,暂停,2025-02-06 11:47:53,
24bdae1ee43d11ef8c57ad30f1df9c0c,朱昊天,男,1975-04-26 04:38:36,230102197504266578,230102197504266578,2003-02-26,长期,18604279318,黑龙江省 哈尔滨市 道里区,22,正常,2025-02-06 11:47:53,
24bdae20e43d11efb993ad30f1df9c0c,陆诗琪,女,1999-06-28 21:31:50,411224199906286704,411224199906286704,2026-04-23,2032-04-23,15138414904,河南省 三门峡市 卢氏县,0,正常,2025-02-06 11:47:53,
24bdae22e43d11ef88adad30f1df9c0c,文志强,男,1995-01-01 13:11:22,150425199501012978,150425199501012978,2035-10-25,2041-10-25,13561677181,内蒙古自治区 赤峰市 克什克腾旗,0,吊销,2025-02-06 11:47:53,
24dcd2e5e43d11ef8192ad30f1df9c0c,李彬,男,1973-02-09 13:36:29,321111197302095693,321111197302095693,2017-06-03,2033-06-03,18570317016,江苏省 镇江市 润州区,8,正常,2025-02-06 11:47:53,
24dcd2e7e43d11ef8253ad30f1df9c0c,丁凯,男,1984-08-26 12:40:30,620122198408268074,620122198408268074,2018-08-08,2034-08-08,18916936686,甘肃省 兰州市 皋兰县,7,暂停,2025-02-06 11:47:53,
24dd0373e43d11efb628ad30f1df9c0c,李静雯,女,1957-09-06 17:10:29,650106195709065686,650106195709065686,1979-01-19,长期,18070921313,新疆维吾尔自治区 乌鲁木齐市 头屯河区,46,正常,2025-02-06 11:47:53,
24dd0375e43d11ef9ba0ad30f1df9c0c,王浩天,男,1989-06-20 00:28:01,36070219890620451X,36070219890620451X,2032-09-05,2038-09-05,18617154457,江西省 赣州市 章贡区,0,正常,2025-02-06 11:47:53,
24dd2ae7e43d11ef9009ad30f1df9c0c,余浩然,男,1966-07-06 11:33:13,500117196607067833,500117196607067833,2004-07-25,长期,13107886504,重庆市 重庆市辖区 合川区,21,正常,2025-02-06 11:47:53,
24dd2ae9e43d11ef8ce7ad30f1df9c0c,卢子墨,男,1953-04-02 15:15:56,150926195304024035,150926195304024035,1996-12-09,长期,13533657445,内蒙古自治区 乌兰察布市 察哈尔右翼前旗,29,正常,2025-02-06 11:47:53,
24dd2aebe43d11ef93ebad30f1df9c0c,赵文轩,男,1996-10-20 07:09:16,320507199610201115,320507199610201115,2025-12-06,2031-12-06,13086647122,江苏省 苏州市 相城区,0,正常,2025-02-06 11:47:53,
24dd51eee43d11efa317ad30f1df9c0c,梁健,男,1989-05-18 02:40:33,510727198905182676,510727198905182676,2028-03-21,2034-03-21,15376847214,四川省 绵阳市 平武县,0,正常,2025-02-06 11:47:53,
24dd51f0e43d11ef884ead30f1df9c0c,龙浩宇,男,1949-08-09 14:31:41,140524194908095458,140524194908095458,1995-02-14,长期,14739530070,山西省 晋城市 陵川县,30,正常,2025-02-06 11:47:53,
24dd7912e43d11ef8b52ad30f1df9c0c,卢凯勇,男,2004-05-15 10:25:25,522325200405158193,522325200405158193,2035-05-18,2041-05-18,13811702546,贵州省 黔西南布依族苗族自治州 贞丰县,0,吊销,2025-02-06 11:47:53,
24dd7914e43d11ef98faad30f1df9c0c,廖芷,女,1978-05-25 18:45:48,522623197805257544,522623197805257544,1999-07-27,长期,13649156650,贵州省 黔东南苗族侗族自治州 施秉县,26,正常,2025-02-06 11:47:53,
24dda01ae43d11ef8af7ad30f1df9c0c,白鹏,男,1961-01-29 12:08:06,370323196101291495,370323196101291495,1997-02-21,长期,13822926972,山东省 淄博市 沂源县,28,暂停,2025-02-06 11:47:53,
24dda01ce43d11efabe3ad30f1df9c0c,东方欣怡,女,2002-10-09 01:17:54,220204200210090221,220204200210090221,2027-05-09,2033-05-09,18975641097,吉林省 吉林市 船营区,0,正常,2025-02-06 11:47:53,
24dda01ee43d11ef9dbfad30f1df9c0c,白天宇,男,1956-03-12 19:49:29,331002195603126319,331002195603126319,1995-10-08,长期,15292308530,浙江省 台州市 椒江区,28,吊销,2025-02-06 11:47:53,
24dda020e43d11efbd17ad30f1df9c0c,康蕾,女,1990-11-11 04:24:19,330783199011116743,330783199011116743,2022-06-22,2028-06-22,13526698736,浙江省 金华市 东阳市,3,正常,2025-02-06 11:47:53,
24dda022e43d11efa9cfad30f1df9c0c,罗天宇,男,1970-11-15 18:58:12,370102197011158190,370102197011158190,1990-09-22,长期,13300482089,山东省 济南市 历下区,35,正常,2025-02-06 11:47:53,
24ddc723e43d11efaa4bad30f1df9c0c,贺雪怡,女,2002-10-10 23:00:18,440281200210102468,440281200210102468,2040-07-21,2046-07-21,15876008165,广东省 韶关市 乐昌市,0,正常,2025-02-06 11:47:53,
24ddc725e43d11ef8f4dad30f1df9c0c,刘雅婷,女,1947-11-02 15:50:37,520526194711028861,520526194711028861,1969-09-12,长期,14560792796,贵州省 毕节市 威宁彝族回族苗族自治县,56,正常,2025-02-06 11:47:53,
24ddc727e43d11ef865bad30f1df9c0c,戴子恒,男,2003-05-25 13:58:18,231002200305256035,231002200305256035,2039-02-09,2045-02-09,18985823443,黑龙江省 牡丹江市 东安区,0,吊销,2025-02-06 11:47:53,
24ddc729e43d11ef9a2fad30f1df9c0c,毛浩轩,男,1945-10-04 11:28:31,211481194510046315,211481194510046315,1972-06-06,长期,15706092419,辽宁省 葫芦岛市 兴城市,53,正常,2025-02-06 11:47:53,
24ddc72be43d11ef9207ad30f1df9c0c,钟子默,男,1995-02-12 13:05:37,210422199502126376,210422199502126376,2018-12-02,2034-12-02,18298138019,辽宁省 抚顺市 新宾满族自治县,7,正常,2025-02-06 11:47:53,
24ddc72de43d11efafb9ad30f1df9c0c,段瑜,女,2004-02-01 15:28:14,340223200402018247,340223200402018247,2034-06-22,2040-06-22,14519203561,安徽省 芜湖市 南陵县,0,吊销,2025-02-06 11:47:53,
24ddc72fe43d11efb426ad30f1df9c0c,程瑶璐,女,1978-11-22 16:09:13,632803197811221821,632803197811221821,2012-09-06,长期,18631031284,青海省 海西蒙古族藏族自治州 茫崖市,13,正常,2025-02-06 11:47:53,
24ddee0ce43d11ef946ead30f1df9c0c,郑欣怡,女,1970-02-20 17:16:01,620826197002208329,620826197002208329,2007-11-05,长期,15706138002,甘肃省 平凉市 静宁县,18,正常,2025-02-06 11:47:53,
24ddee0ee43d11efb0ebad30f1df9c0c,傅浩辰,男,1986-03-17 13:19:11,511381198603170175,511381198603170175,2015-02-21,长期,13701433464,四川省 南充市 阆中市,10,正常,2025-02-06 11:47:53,
24ddee10e43d11efa8baad30f1df9c0c,熊俊昊,男,1979-04-08 16:55:09,140429197904084014,140429197904084014,2017-02-01,2033-02-01,13046851517,山西省 长治市 武乡县,8,正常,2025-02-06 11:47:53,
24ddee12e43d11ef9e86ad30f1df9c0c,苏雅婷,女,1952-10-14 01:37:36,540421195210141007,540421195210141007,1984-11-20,长期,18074885769,西藏自治区 林芝市 工布江达县,41,正常,2025-02-06 11:47:53,
24ddee14e43d11efb13ead30f1df9c0c,顾峰,男,2000-11-05 10:58:01,620102200011056051,620102200011056051,2029-07-08,2035-07-08,18652197571,甘肃省 兰州市 城关区,0,正常,2025-02-06 11:47:53,
24ddee16e43d11efbbdbad30f1df9c0c,汤浩然,男,1983-01-30 22:58:30,431026198301305512,431026198301305512,2030-01-28,2036-01-28,15968148264,湖南省 郴州市 汝城县,0,正常,2025-02-06 11:47:53,
24ddee18e43d11ef8d15ad30f1df9c0c,龙博文,男,1976-07-06 16:22:33,231085197607064270,231085197607064270,2021-03-07,2027-03-07,18105443949,黑龙江省 牡丹江市 穆棱市,4,正常,2025-02-06 11:47:53,
24ddee1ae43d11efa5c2ad30f1df9c0c,胡昊然,男,1983-05-02 15:03:57,34102319830502029X,34102319830502029X,2028-03-23,2034-03-23,13708370972,安徽省 黄山市 黟县,0,正常,2025-02-06 11:47:53,
24de151de43d11efbb2ead30f1df9c0c,廖毅,男,1982-02-22 19:22:53,222403198202229357,222403198202229357,2016-09-19,2032-09-19,13382758911,吉林省 延边朝鲜族自治州 敦化市,9,正常,2025-02-06 11:47:53,
24de151fe43d11efaf4fad30f1df9c0c,高嘉懿,男,1988-11-28 16:37:36,110118198811288097,110118198811288097,2027-06-11,2033-06-11,18199938995,北京市 北京市辖区 密云区,0,正常,2025-02-06 11:47:53,
24de1521e43d11efab71ad30f1df9c0c,常俊昊,男,1968-07-04 20:01:06,41132819680704757X,41132819680704757X,2016-09-06,2032-09-06,13481760680,河南省 南阳市 唐河县,9,正常,2025-02-06 11:47:53,
24de1523e43d11ef9c7dad30f1df9c0c,许薇,女,1973-07-31 22:00:41,130826197307316682,130826197307316682,2000-05-25,长期,13680097173,河北省 承德市 丰宁满族自治县,25,正常,2025-02-06 11:47:53,
24de1525e43d11ef9b5fad30f1df9c0c,杜宇航,男,1982-04-09 19:03:55,450203198204092315,450203198204092315,2002-10-04,长期,14589845145,广西壮族自治区 柳州市 鱼峰区,23,正常,2025-02-06 11:47:53,
24de1527e43d11efb9dead30f1df9c0c,宋俊熙,男,1947-12-04 06:03:21,330624194712045935,330624194712045935,1983-12-27,长期,15744297328,浙江省 绍兴市 新昌县,42,正常,2025-02-06 11:47:53,
24de1529e43d11efa34fad30f1df9c0c,石芷,女,1984-03-26 05:54:17,620321198403269005,620321198403269005,2002-08-12,长期,15281659808,甘肃省 金昌市 永昌县,23,正常,2025-02-06 11:47:53,
24de3c2de43d11ef9accad30f1df9c0c,康天佑,男,1956-10-01 19:08:33,510112195610014033,510112195610014033,1975-03-12,长期,15124676519,四川省 成都市 龙泉驿区,50,正常,2025-02-06 11:47:53,
24de3c2fe43d11ef82baad30f1df9c0c,孙瑾芷,女,1970-08-23 22:37:16,440111197008236981,440111197008236981,1989-01-01,长期,13763855949,广东省 广州市 白云区,36,正常,2025-02-06 11:47:53,
250154b5e43d11ef8014ad30f1df9c0c,武俊杰,男,2004-10-22 12:52:07,532925200410227995,532925200410227995,2042-12-07,2048-12-07,15952303179,云南省 大理白族自治州 弥渡县,0,正常,2025-02-06 11:47:53,
250154b7e43d11efbf42ad30f1df9c0c,文天佑,男,1989-12-05 17:53:47,611021198912059818,611021198912059818,2018-03-09,2034-03-09,14541503014,陕西省 商洛市 洛南县,7,正常,2025-02-06 11:47:53,
250154b9e43d11ef9c76ad30f1df9c0c,武浩宇,男,1981-11-15 04:40:29,430407198111152457,430407198111152457,2005-11-24,长期,18640736191,湖南省 衡阳市 石鼓区,20,正常,2025-02-06 11:47:53,
250154bbe43d11efb04ead30f1df9c0c,丁宁涛,男,1949-10-30 17:27:13,321182194910309175,321182194910309175,1972-04-04,长期,13064287053,江苏省 镇江市 扬中市,53,正常,2025-02-06 11:47:53,
250154bde43d11efb150ad30f1df9c0c,慕容蓉欣,女,1977-10-19 08:46:09,610117197710190186,610117197710190186,2022-02-14,2028-02-14,15239355197,陕西省 西安市 高陵区,3,正常,2025-02-06 11:47:53,
25017bcde43d11ef8f68ad30f1df9c0c,熊天翔,男,1987-05-04 06:19:38,440803198705040717,440803198705040717,2008-05-23,长期,13852995698,广东省 湛江市 霞山区,17,正常,2025-02-06 11:47:53,
25017bcfe43d11ef842bad30f1df9c0c,赖俊熙,男,1994-11-06 13:37:09,450225199411065494,450225199411065494,2023-07-04,2029-07-04,15605472580,广西壮族自治区 柳州市 融水苗族自治县,2,暂停,2025-02-06 11:47:53,
25017bd1e43d11efaab8ad30f1df9c0c,周天宇,男,1999-12-13 03:41:32,532323199912136398,532323199912136398,2024-01-25,2030-01-25,15996591814,云南省 楚雄彝族自治州 牟定县,1,暂停,2025-02-06 11:47:53,
25017bd3e43d11efbc37ad30f1df9c0c,吴依琳,女,1973-11-15 08:59:01,610422197311153721,610422197311153721,2017-05-17,2033-05-17,13163818857,陕西省 咸阳市 三原县,8,正常,2025-02-06 11:47:53,
25017bd5e43d11ef9bdaad30f1df9c0c,蒋子涵,男,1972-11-22 10:21:58,230503197211222879,230503197211222879,2000-10-04,长期,14589933271,黑龙江省 双鸭山市 岭东区,25,正常,2025-02-06 11:47:53,
25017bd7e43d11ef9cfbad30f1df9c0c,金梦婷,女,1947-04-21 00:01:33,41150219470421410X,41150219470421410X,1991-03-14,长期,13581994725,河南省 信阳市 浉河区,34,正常,2025-02-06 11:47:53,
25017bd9e43d11efa7ddad30f1df9c0c,潘静,女,1957-12-05 10:13:50,61032219571205632X,61032219571205632X,1980-02-27,长期,18231519818,陕西省 宝鸡市 凤翔县,45,正常,2025-02-06 11:47:53,
25017bdbe43d11efb4e7ad30f1df9c0c,胡瑞,男,1951-04-15 20:05:16,62302419510415893X,62302419510415893X,1992-06-02,长期,15386163857,甘肃省 甘南藏族自治州 迭部县,32,吊销,2025-02-06 11:47:53,
2501a2d7e43d11efb078ad30f1df9c0c,常祥,男,1998-11-04 18:37:43,130528199811048619,130528199811048619,2039-03-19,2045-03-19,18048079034,河北省 邢台市 宁晋县,0,正常,2025-02-06 11:47:53,
2501a2d9e43d11ef8c5dad30f1df9c0c,朱雅楠,女,1975-07-13 02:07:15,430182197507132128,430182197507132128,2004-05-16,长期,15148842333,湖南省 长沙市 宁乡市,21,正常,2025-02-06 11:47:53,
2501a2dbe43d11efbfc0ad30f1df9c0c,郭雅静,女,1962-11-23 20:21:35,210114196211234684,210114196211234684,1996-11-12,长期,15630981163,辽宁省 沈阳市 于洪区,29,暂停,2025-02-06 11:47:53,
2501a2dde43d11ef868aad30f1df9c0c,孔宇,男,1949-06-15 18:34:27,410102194906157673,410102194906157673,1986-08-17,长期,14565147905,河南省 郑州市 中原区,39,正常,2025-02-06 11:47:53,
2501a2dfe43d11efb574ad30f1df9c0c,龙辰宇,男,1958-11-21 00:09:08,320305195811211799,320305195811211799,2000-05-07,长期,13172044703,江苏省 徐州市 贾汪区,25,正常,2025-02-06 11:47:53,
